date,value
2020-02-26,13046.6201171875
2020-02-27,12547.25
2020-02-28,12380.9697265625
2020-03-02,12827.990234375
2020-03-03,12542.740234375
2020-03-04,13009.9599609375
2020-03-05,12593.0302734375
2020-03-06,12352.0302734375
2020-03-09,11298.4296875
2020-03-10,11793.26953125
2020-03-11,11177.2900390625
2020-03-12,10060.759765625
2020-03-13,10851.740234375
2020-03-16,9567.5302734375
2020-03-17,10063.3603515625
2020-03-18,9384.599609375
2020-03-19,9461.3095703125
2020-03-20,9133.16015625
2020-03-23,8777.3798828125
2020-03-24,9658.3203125
2020-03-25,9961.3798828125
2020-03-26,10536.2802734375
2020-03-27,10187.2099609375
2020-03-30,10434.740234375
2020-03-31,10301.8701171875
2020-04-01,9844.849609375
2020-04-02,10062.3701171875
2020-04-03,9880.6298828125
2020-04-06,10515.240234375
2020-04-07,10537.0400390625
2020-04-08,10902.58984375
2020-04-09,11136.6103515625
2020-04-13,10949.5302734375
2020-04-14,11172.2001953125
2020-04-15,10843.919921875
2020-04-16,10818.0302734375
2020-04-17,11208.2900390625
2020-04-20,11003.8798828125
2020-04-21,10706.4404296875
2020-04-22,10908.5595703125
2020-04-23,10916.6796875
2020-04-24,11017.900390625
2020-04-27,11264.83984375
2020-04-28,11319.7001953125
2020-04-29,11618.23046875
2020-04-30,11372.33984375
2020-05-01,11058.5703125
2020-05-04,11056.2802734375
2020-05-05,11135.400390625
2020-05-06,10999.990234375
2020-05-07,11121.669921875
2020-05-08,11354.33984375
2020-05-11,11281.3701171875
2020-05-12,11055.580078125
2020-05-13,10829.4404296875
2020-05-14,10927.41015625
2020-05-15,10947.3203125
2020-05-18,11402.23046875
2020-05-19,11248.9697265625
2020-05-20,11420.0400390625
2020-05-21,11351.599609375
2020-05-22,11331.9697265625
2020-05-26,11603.0
2020-05-27,11837.5302734375
2020-05-28,11804.91015625
2020-05-29,11802.9501953125
2020-06-01,11900.240234375
2020-06-02,12046.41015625
2020-06-03,12302.1904296875
2020-06-04,12286.98046875
2020-06-05,12641.4404296875
2020-06-08,12836.599609375
2020-06-09,12619.51953125
2020-06-10,12449.2197265625
2020-06-11,11659.169921875
2020-06-12,11867.169921875
2020-06-15,11942.91015625
2020-06-16,12161.4697265625
2020-06-17,12086.490234375
2020-06-18,12072.58984375
2020-06-19,11980.1201171875
2020-06-22,12028.91015625
2020-06-23,12077.740234375
2020-06-24,11726.5400390625
2020-06-25,11865.1103515625
2020-06-26,11604.4296875
2020-06-29,11777.080078125
2020-06-30,11893.7802734375
2020-07-01,11901.5498046875
2020-07-02,11991.51953125
2020-07-06,12160.009765625
2020-07-07,11990.1396484375
2020-07-08,12086.3896484375
2020-07-09,11928.6298828125
2020-07-10,12075.580078125
2020-07-13,12014.669921875
2020-07-14,12014.669921875
2020-07-15,12391.3203125
2020-07-16,12350.1103515625
2020-07-17,12402.740234375
2020-07-20,12392.98046875
2020-07-21,12508.6796875
2020-07-22,12569.0703125
2020-07-23,12510.8701171875
2020-07-24,12461.7802734375
2020-07-27,12553.1298828125
2020-07-28,12491.2197265625
2020-07-29,12669.6201171875
2020-07-30,12533.2802734375
2020-07-31,12465.0498046875
2020-08-03,12536.8095703125
2020-08-04,12612.1103515625
2020-08-05,12731.5498046875
2020-08-06,12729.169921875
2020-08-07,12765.83984375
